Mail Template
NAME;CATEGORY;;IS PRESENT ?;TASK NEEDED ?;TASK NAME;Note
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;NO;;;
;;ENGLISH VERSION;NO;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;NO;;;
;;ENGLISH VERSION;NO;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;NO;;;
;;ENGLISH VERSION;NO;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;NO;;;
;;ENGLISH VERSION;NO;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;NO;;;
;;ENGLISH VERSION;NO;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;NO;;;
;;ENGLISH VERSION;NO;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;;;;
;;ENGLISH VERSION;;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;;;;
;;ENGLISH VERSION;;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;;;;
;;ENGLISH VERSION;;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;;;;
;;ENGLISH VERSION;;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;;;;
;;ENGLISH VERSION;;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;;;;
;;ENGLISH VERSION;;;;
;;FRENCH VERSION;YES;;;
;;ENGLISH VERSION;YES;;;
;;FRENCH VERSION;;;;
;;ENGLISH VERSION;;;;
